display_order,name,description
1,Safe,you are protected from abuse and avoidable harm.
2,Effective,"your care, treatment and support achieves good outcomes, helps you to maintain quality of life and is based on the best available evidence."
3,Caring,"staff involve and treat you with compassion, kindness, dignity and respect."
4,Responsive,services are organised so that they meet your needs.
5,Well-led,"the leadership, management and governance of the organisation make sure it's providing high-quality care that's based around your individual needs, that it encourages learning and innovation, and that it promotes an open and fair culture."
